Rank,Name,Game Type,Map,Game Rank,1st Ability,2nd Ability,3rd Ability,Ultimate,Matches
16,Viper,competitive,ascent,Silver 3,10.2,16.3,11.9,1.7,"7,636"
17,Yoru,competitive,ascent,Silver 3,14.4,21.7,11.9,3,"5,259"
18,Harbor,competitive,ascent,Silver 3,5.6,16.1,15.1,2.7,"1,985"
19,KAY/O,competitive,ascent,Silver 3,13.9,24,8,2.2,"11,559"
20,Neon,competitive,ascent,Silver 3,13.5,18.8,6,2.2,"6,370"
1,Killjoy,competitive,fracture,Gold 1,12.9,8.1,23.3,3,"19,492"
2,Brimstone,competitive,fracture,Gold 1,7.8,37.5,8.6,2.6,"23,768"
3,Jett,competitive,fracture,Gold 1,6.9,20.6,12.2,2.6,"24,951"
4,Fade,competitive,fracture,Gold 1,5.4,22.3,16.7,2.4,"12,578"
5,Reyna,competitive,fracture,Gold 1,14.4,5.5,15.5,1.9,"36,866"
6,Sage,competitive,fracture,Gold 1,11.5,9.3,11.5,1.8,"28,720"
7,Breach,competitive,fracture,Gold 1,16.9,20.5,7.9,2.4,"20,512"
8,Raze,competitive,fracture,Gold 1,14.5,16.3,11.9,2.6,"19,543"
9,Phoenix,competitive,fracture,Gold 1,14.3,8.8,5,4,"9,895"
10,Neon,competitive,fracture,Gold 1,15.6,18.8,7.2,2.4,"10,120"
11,Viper,competitive,fracture,Gold 1,10.4,16.8,11.7,1.9,"12,720"
12,Skye,competitive,fracture,Gold 1,8.5,24,3.6,3.2,"9,938"
13,Cypher,competitive,fracture,Gold 1,22.9,15,28.6,2.8,"11,292"
14,Sova,competitive,fracture,Gold 1,11.6,23.6,6.5,2,"7,379"
15,Astra,competitive,fracture,Gold 1,3.3,28.7,6,2.1,"3,341"
16,Chamber,competitive,fracture,Gold 1,4,8,12.9,2.4,"9,011"
17,Omen,competitive,fracture,Gold 1,8.3,32.3,6.7,1.9,"13,182"
18,KAY/O,competitive,fracture,Gold 1,12.8,22.8,7.7,2.4,"9,973"
19,Yoru,competitive,fracture,Gold 1,14.3,22.3,12.3,3.1,"4,575"
20,Harbor,competitive,fracture,Gold 1,6.2,16.5,15.2,2.9,"2,536"
1,Brimstone,competitive,pearl,Gold 1,7.8,37.2,8.5,2.4,"13,548"
2,Phoenix,competitive,pearl,Gold 1,15.8,9.6,5,3.9,"13,068"
3,Killjoy,competitive,pearl,Gold 1,13.7,8.6,23.6,2.8,"14,853"
4,Fade,competitive,pearl,Gold 1,6.2,24.2,18.5,2.4,"20,112"
5,Reyna,competitive,pearl,Gold 1,14.6,5.5,16,1.8,"37,377"
6,Astra,competitive,pearl,Gold 1,3.3,29.5,6.6,2.2,"8,021"
7,Sova,competitive,pearl,Gold 1,12.4,25.2,7.3,2,"10,006"
8,Raze,competitive,pearl,Gold 1,14.8,16.4,12.3,2.5,"17,231"
9,Cypher,competitive,pearl,Gold 1,22.3,15.8,29.1,2.7,"12,909"
10,Skye,competitive,pearl,Gold 1,9.3,25.7,3.9,3,"10,371"
11,Sage,competitive,pearl,Gold 1,12.4,9.3,11.7,1.9,"31,490"
12,Jett,competitive,pearl,Gold 1,7.3,20.4,12.2,2.5,"26,472"
13,Chamber,competitive,pearl,Gold 1,4.1,8.9,14.1,2.3,"10,020"
14,Viper,competitive,pearl,Gold 1,10,17.9,12.6,2,"17,774"
15,Breach,competitive,pearl,Gold 1,16.2,18.3,7.7,2.3,"5,974"
16,Neon,competitive,pearl,Gold 1,14.4,19,6.6,2.2,"7,281"
17,Omen,competitive,pearl,Gold 1,8.2,33.3,6.3,1.9,"13,269"
18,Harbor,competitive,pearl,Gold 1,6.6,17.4,15.7,2.7,"4,094"
19,KAY/O,competitive,pearl,Gold 1,13.7,24.1,8.1,2.3,"11,087"
20,Yoru,competitive,pearl,Gold 1,14.9,22.8,12.2,3,"5,402"
1,Killjoy,competitive,haven,Gold 1,13.7,7.6,21.4,2.5,"17,790"
2,Fade,competitive,haven,Gold 1,5.4,21.5,16.5,2.3,"12,512"
3,Brimstone,competitive,haven,Gold 1,7.4,35.5,8.3,2.3,"17,289"
4,Astra,competitive,haven,Gold 1,3.2,28.3,6,2,"4,763"
5,Phoenix,competitive,haven,Gold 1,15.1,9,4.2,3.7,"12,217"
6,Sova,competitive,haven,Gold 1,11.5,24.6,7,1.9,"16,737"
7,Reyna,competitive,haven,Gold 1,14.3,5.3,15,1.7,"37,848"
8,Raze,competitive,haven,Gold 1,14.7,16.1,11.9,2.4,"18,681"
9,Sage,competitive,haven,Gold 1,11.4,9.2,11.5,1.8,"32,724"
10,Skye,competitive,haven,Gold 1,9.1,23.4,3.8,3,"11,337"
11,Jett,competitive,haven,Gold 1,8.6,20.1,11.9,2.5,"28,907"
12,Cypher,competitive,haven,Gold 1,22.4,14.7,28.6,2.7,"11,335"
13,Omen,competitive,haven,Gold 1,8.4,34.2,8.1,1.9,"27,542"
14,Breach,competitive,haven,Gold 1,16.1,19.2,7.4,2.2,"8,178"
15,Viper,competitive,haven,Gold 1,9.3,16.8,10.9,1.8,"5,438"
16,KAY/O,competitive,haven,Gold 1,12.8,23.5,7.5,2.2,"9,513"
17,Chamber,competitive,haven,Gold 1,4,10.5,14,2.3,"8,943"
18,Neon,competitive,haven,Gold 1,13.4,18.9,6,2.2,"5,794"
19,Yoru,competitive,haven,Gold 1,14.2,23,12.4,3,"4,789"
20,Harbor,competitive,haven,Gold 1,6,15.4,15.4,2.6,"1,564"
1,Brimstone,competitive,lotus,Gold 1,7.4,34.1,8.3,2.5,"14,074"
2,Astra,competitive,lotus,Gold 1,3.7,26.9,6.8,2,"5,276"
3,Sage,competitive,lotus,Gold 1,10.8,9,10.2,1.9,"28,289"
4,Reyna,competitive,lotus,Gold 1,14.4,5.4,15.7,1.8,"37,268"
5,Raze,competitive,lotus,Gold 1,14.6,17,12.1,2.5,"21,201"
6,Fade,competitive,lotus,Gold 1,5.7,21.9,17.2,2.4,"12,763"
7,Sova,competitive,lotus,Gold 1,11.1,24.1,6.8,2,"8,961"
8,Phoenix,competitive,lotus,Gold 1,15.1,8.7,3.9,3.8,"11,820"
9,Killjoy,competitive,lotus,Gold 1,13.2,7.9,22.1,2.8,"17,873"
10,Jett,competitive,lotus,Gold 1,7.5,20.4,11.2,2.5,"24,908"
11,Cypher,competitive,lotus,Gold 1,21.7,15.3,29.2,2.9,"10,792"
12,Neon,competitive,lotus,Gold 1,14.7,19,5.4,2.3,"7,496"
13,Skye,competitive,lotus,Gold 1,9,25.1,3.8,3.1,"13,240"
14,Breach,competitive,lotus,Gold 1,17.3,20.7,7.2,2.3,"13,722"
15,Viper,competitive,lotus,Gold 1,8.9,16.8,11.4,1.8,"7,068"
16,Chamber,competitive,lotus,Gold 1,4.4,9.4,13.6,2.3,"9,887"
17,Omen,competitive,lotus,Gold 1,8.9,32.7,6.5,1.8,"21,206"
18,Harbor,competitive,lotus,Gold 1,5.8,16.3,16.7,2.8,"4,998"
19,KAY/O,competitive,lotus,Gold 1,13.1,23.6,7.5,2.3,"11,006"
20,Yoru,competitive,lotus,Gold 1,14.4,21.4,12.3,3,"5,444"
1,Killjoy,competitive,icebox,Gold 1,12.6,8.2,22,2.7,"17,103"
2,Sage,competitive,icebox,Gold 1,10.9,9.3,10.9,1.9,"38,171"
3,Jett,competitive,icebox,Gold 1,12.5,20.1,10,2.5,"30,264"
4,Reyna,competitive,icebox,Gold 1,14.4,5.3,13.6,1.8,"38,171"
5,Sova,competitive,icebox,Gold 1,11.9,26.1,7.9,1.9,"23,100"
6,Viper,competitive,icebox,Gold 1,10,18,11,2,"27,485"
7,Fade,competitive,icebox,Gold 1,5.3,22.8,15.5,2.3,"10,719"
8,Raze,competitive,icebox,Gold 1,16.8,16.3,11.1,2.4,"20,220"
9,Chamber,competitive,icebox,Gold 1,4,11.1,13.2,2.3,"9,750"
10,Breach,competitive,icebox,Gold 1,14,17.2,6.8,2.2,"4,107"
11,Phoenix,competitive,icebox,Gold 1,12,8.2,3.7,3.6,"8,726"
12,Brimstone,competitive,icebox,Gold 1,6.9,33.9,7.7,2.4,"8,925"
13,Cypher,competitive,icebox,Gold 1,20.2,15.3,27.1,2.6,"5,363"
14,Omen,competitive,icebox,Gold 1,7,30.1,10.7,1.8,"16,369"
15,KAY/O,competitive,icebox,Gold 1,11.5,23.9,7.4,2.3,"11,418"
16,Skye,competitive,icebox,Gold 1,8.2,20.8,3.8,3,"7,966"
17,Neon,competitive,icebox,Gold 1,12.4,19.1,5.4,2.2,"6,167"
18,Astra,competitive,icebox,Gold 1,3.6,25.1,6.2,2.2,"1,916"
19,Harbor,competitive,icebox,Gold 1,6.2,17.1,15,2.8,"2,172"
20,Yoru,competitive,icebox,Gold 1,12.3,22.5,11.5,2.9,"4,703"
1,Brimstone,competitive,all,Gold 1,7.6,35.9,8.4,2.4,"110,859"
2,Killjoy,competitive,all,Gold 1,13.2,8.1,23,2.8,"135,298"
3,Reyna,competitive,all,Gold 1,14.4,5.4,15.4,1.8,"260,436"
4,Sage,competitive,all,Gold 1,11.7,9.4,11.4,1.9,"225,678"
5,Astra,competitive,all,Gold 1,3.3,28.5,6.5,2.1,"33,968"
6,Phoenix,competitive,all,Gold 1,14.9,9,4.3,3.8,"76,835"
7,Fade,competitive,all,Gold 1,5.8,22.9,17.1,2.4,"92,023"
8,Sova,competitive,all,Gold 1,12.1,25.2,7.5,2,"96,626"
9,Raze,competitive,all,Gold 1,15.3,16.6,12,2.5,"144,029"
10,Jett,competitive,all,Gold 1,8.5,20.3,11.6,2.5,"188,553"
11,Viper,competitive,all,Gold 1,10,17.4,11.6,1.9,"85,786"
12,Skye,competitive,all,Gold 1,9.1,24.4,3.8,3,"73,955"
13,Cypher,competitive,all,Gold 1,22.5,15.3,28.1,2.8,"74,929"
14,Breach,competitive,all,Gold 1,16.5,19.7,7.6,2.3,"66,406"
15,Omen,competitive,all,Gold 1,8.4,33.7,7.6,1.9,"139,815"
16,Chamber,competitive,all,Gold 1,4.1,9.5,13.4,2.3,"61,795"
17,Neon,competitive,all,Gold 1,14.3,18.9,6.2,2.3,"47,174"
18,KAY/O,competitive,all,Gold 1,13,23.7,7.7,2.3,"74,227"
19,Yoru,competitive,all,Gold 1,14.2,22.5,12.2,3,"33,307"
20,Harbor,competitive,all,Gold 1,6.1,16.7,15.8,2.8,"18,848"
1,Sage,competitive,split,Gold 1,13.2,9.8,12.9,1.9,"38,196"
2,Skye,competitive,split,Gold 1,10,26.1,3.9,3,"12,391"
3,Killjoy,competitive,split,Gold 1,13.3,8.3,23.2,2.7,"19,039"
4,Phoenix,competitive,split,Gold 1,15.4,8.9,4.4,3.7,"9,982"
5,Brimstone,competitive,split,Gold 1,7.8,35.7,8.4,2.4,"15,181"
6,Reyna,competitive,split,Gold 1,14.4,5.5,16.1,1.8,"35,990"
7,Viper,competitive,split,Gold 1,10.7,17.1,12.1,1.8,"9,121"
8,Astra,competitive,split,Gold 1,3.3,28.9,6.6,2,"5,444"
9,Jett,competitive,split,Gold 1,7,20.5,12,2.4,"24,262"
10,Raze,competitive,split,Gold 1,15.9,16.8,12.4,2.5,"27,296"
11,Cypher,competitive,split,Gold 1,23.9,15.3,27,2.8,"14,236"
12,Omen,competitive,split,Gold 1,8.7,35.2,7.7,2,"23,822"
13,Fade,competitive,split,Gold 1,5.9,23.3,17.6,2.3,"11,777"
14,Sova,competitive,split,Gold 1,11.9,24.9,7.3,1.9,"9,510"
15,Chamber,competitive,split,Gold 1,4,8.8,13.1,2.3,"6,924"
16,Breach,competitive,split,Gold 1,16.6,19.6,7.6,2.2,"8,553"
17,Neon,competitive,split,Gold 1,14.4,18.9,6.2,2.2,"5,441"
18,Yoru,competitive,split,Gold 1,15,23.5,12.6,3,"4,361"
19,KAY/O,competitive,split,Gold 1,13.2,23.7,7.9,2.2,"10,346"
20,Harbor,competitive,split,Gold 1,6,17.2,16.5,2.7,"1,848"
1,Brimstone,competitive,ascent,Gold 1,7.8,36.1,8.2,2.3,"18,074"
2,Astra,competitive,ascent,Gold 1,3.2,29.6,6.7,2,"5,207"
3,Sova,competitive,ascent,Gold 1,13.2,26,8.1,2,"20,933"
4,Killjoy,competitive,ascent,Gold 1,13.2,8.2,24.6,2.8,"29,148"
5,Reyna,competitive,ascent,Gold 1,14.2,5.3,15.8,1.7,"36,916"
6,Phoenix,competitive,ascent,Gold 1,15.6,9.6,4.1,3.8,"11,127"
7,Raze,competitive,ascent,Gold 1,15.4,17,11.9,2.5,"19,857"
8,Sage,competitive,ascent,Gold 1,11.7,9.6,10.8,1.9,"28,088"
9,Jett,competitive,ascent,Gold 1,8.9,20.3,12.1,2.6,"28,789"
10,Breach,competitive,ascent,Gold 1,16.4,18.6,7.9,2.2,"5,360"
11,Fade,competitive,ascent,Gold 1,6,23.8,16.2,2.3,"11,562"
12,Viper,competitive,ascent,Gold 1,10.4,16.4,11.7,1.7,"6,180"
13,Omen,competitive,ascent,Gold 1,8.6,36.3,7.2,2,"24,425"
14,Skye,competitive,ascent,Gold 1,9,24.2,4,3,"8,712"
15,Cypher,competitive,ascent,Gold 1,22.7,15.6,26.7,2.7,"9,002"
16,Chamber,competitive,ascent,Gold 1,4.2,9.2,12.8,2.3,"7,260"
17,KAY/O,competitive,ascent,Gold 1,14.1,24.2,8,2.2,"10,884"
18,Yoru,competitive,ascent,Gold 1,14.1,21.8,12.1,3,"4,033"
19,Neon,competitive,ascent,Gold 1,13.9,18.8,6,2.1,"4,875"
20,Harbor,competitive,ascent,Gold 1,5.6,16.2,15.2,2.7,"1,636"
1,Brimstone,competitive,fracture,Gold 2,7.7,37.7,8.7,2.6,"22,350"
2,Killjoy,competitive,fracture,Gold 2,13,8.1,23.4,3,"17,488"
3,Reyna,competitive,fracture,Gold 2,14.5,5.5,15.5,1.9,"32,850"
4,Astra,competitive,fracture,Gold 2,3.3,28.8,6.6,2.2,"3,209"
5,Sage,competitive,fracture,Gold 2,11.7,9.3,11.6,1.9,"24,525"
6,Phoenix,competitive,fracture,Gold 2,14.6,8.9,5,4,"8,876"
7,Jett,competitive,fracture,Gold 2,6.9,20.9,12.2,2.6,"23,914"
8,Viper,competitive,fracture,Gold 2,10.3,16.8,11.7,1.9,"11,571"
9,Raze,competitive,fracture,Gold 2,14.9,16.3,12,2.6,"17,826"
10,Neon,competitive,fracture,Gold 2,16,19,7.2,2.5,"9,001"
11,Breach,competitive,fracture,Gold 2,17.2,20.8,8,2.4,"19,924"
12,Skye,competitive,fracture,Gold 2,8.7,24.7,3.6,3.2,"8,576"
13,Cypher,competitive,fracture,Gold 2,23,15,28.7,2.8,"10,670"
14,Fade,competitive,fracture,Gold 2,5.7,22.4,17.2,2.5,"11,464"
15,Omen,competitive,fracture,Gold 2,8.4,32.6,6.9,1.9,"11,351"
16,Sova,competitive,fracture,Gold 2,11.8,23.9,6.7,2,"6,167"
17,Chamber,competitive,fracture,Gold 2,4.2,8.2,13.6,2.4,"8,436"
18,KAY/O,competitive,fracture,Gold 2,13.1,23,7.7,2.4,"8,764"
19,Yoru,competitive,fracture,Gold 2,14.6,22.6,12.2,3.2,"3,984"
20,Harbor,competitive,fracture,Gold 2,6.3,16.7,15.5,2.9,"2,132"
1,Phoenix,competitive,pearl,Gold 2,16.1,9.8,4.9,3.9,"12,083"
2,Killjoy,competitive,pearl,Gold 2,13.8,8.5,23.5,2.8,"12,976"
3,Sage,competitive,pearl,Gold 2,12.8,9.4,11.9,1.9,"27,342"
4,Astra,competitive,pearl,Gold 2,3.4,29.6,6.9,2.2,"7,812"
5,Raze,competitive,pearl,Gold 2,15.2,16.7,12.3,2.5,"15,567"
6,Brimstone,competitive,pearl,Gold 2,7.7,38,8.7,2.5,"12,125"
7,Fade,competitive,pearl,Gold 2,6.4,24.2,18.9,2.4,"19,429"
8,Reyna,competitive,pearl,Gold 2,14.6,5.5,16,1.8,"34,806"
9,Viper,competitive,pearl,Gold 2,9.9,17.9,12.7,2,"16,694"
10,Sova,competitive,pearl,Gold 2,13,25.6,7.7,2,"8,615"
11,Jett,competitive,pearl,Gold 2,7.4,20.7,12.4,2.6,"25,214"
12,Cypher,competitive,pearl,Gold 2,22.1,15.7,29,2.8,"12,252"
13,Skye,competitive,pearl,Gold 2,9.4,26.5,3.8,3.1,"9,578"
14,Harbor,competitive,pearl,Gold 2,6.7,17.4,15.9,2.8,"3,733"
15,Omen,competitive,pearl,Gold 2,8.4,33.7,6.3,1.9,"11,442"
16,Neon,competitive,pearl,Gold 2,14.6,19.1,6.6,2.3,"6,299"
17,Breach,competitive,pearl,Gold 2,17,18.7,7.9,2.3,"5,431"
18,Yoru,competitive,pearl,Gold 2,15.1,23.2,12.3,3.1,"4,661"
19,Chamber,competitive,pearl,Gold 2,4,8.8,14.3,2.3,"9,669"
20,KAY/O,competitive,pearl,Gold 2,14.2,24.4,8.2,2.3,"10,173"
1,Killjoy,competitive,haven,Gold 2,13.9,7.6,21.5,2.5,"15,834"
2,Phoenix,competitive,haven,Gold 2,15.3,9.1,4.1,3.7,"11,450"
3,Brimstone,competitive,haven,Gold 2,7.3,35.9,8.4,2.4,"15,788"
4,Fade,competitive,haven,Gold 2,5.6,21.6,16.8,2.3,"11,280"
5,Reyna,competitive,haven,Gold 2,14.3,5.4,15.1,1.7,"34,671"
6,Raze,competitive,haven,Gold 2,15,16.3,12.1,2.4,"16,985"
7,Astra,competitive,haven,Gold 2,3.1,29.1,6.2,2,"4,539"
8,Sage,competitive,haven,Gold 2,11.8,9.3,11.7,1.9,"28,197"
9,Omen,competitive,haven,Gold 2,8.6,34.7,8.1,1.9,"25,772"
10,Sova,competitive,haven,Gold 2,11.8,24.8,7.4,2,"15,920"
11,Jett,competitive,haven,Gold 2,8.7,20.4,12.1,2.5,"28,072"
12,Cypher,competitive,haven,Gold 2,22.6,14.7,28.7,2.7,"10,625"
13,Breach,competitive,haven,Gold 2,16.4,19.4,7.3,2.2,"7,494"
14,Neon,competitive,haven,Gold 2,14,18.9,6,2.2,"5,033"
15,Skye,competitive,haven,Gold 2,9.1,24.2,3.8,3,"10,311"
16,Viper,competitive,haven,Gold 2,9.4,16.9,11.1,1.8,"4,439"
17,Chamber,competitive,haven,Gold 2,4.1,10.4,14.2,2.3,"8,495"
18,KAY/O,competitive,haven,Gold 2,13.1,23.6,7.6,2.2,"8,568"
19,Yoru,competitive,haven,Gold 2,14.4,23.2,12.3,3,"4,018"
20,Harbor,competitive,haven,Gold 2,5.7,15.5,15.3,2.7,"1,281"
1,Sage,competitive,lotus,Gold 2,11,9,10.4,1.9,"24,483"
2,Brimstone,competitive,lotus,Gold 2,7.3,34.4,8.5,2.5,"12,693"
3,Reyna,competitive,lotus,Gold 2,14.5,5.4,15.9,1.8,"35,096"
4,Killjoy,competitive,lotus,Gold 2,13.2,7.9,22,2.8,"16,001"
5,Phoenix,competitive,lotus,Gold 2,15.2,8.9,3.8,3.9,"10,588"
6,Raze,competitive,lotus,Gold 2,15,17.2,12.1,2.6,"19,525"
7,Viper,competitive,lotus,Gold 2,9.1,16.9,11.3,1.9,"6,159"
8,Skye,competitive,lotus,Gold 2,8.9,25.6,3.7,3.1,"11,954"
9,Sova,competitive,lotus,Gold 2,11.3,24.2,7.1,2,"8,113"
10,Astra,competitive,lotus,Gold 2,3.8,26.8,7.2,2,"5,151"
11,Chamber,competitive,lotus,Gold 2,4.5,9.4,13.9,2.3,"9,700"
12,Jett,competitive,lotus,Gold 2,7.4,20.7,11.3,2.5,"24,264"
13,Fade,competitive,lotus,Gold 2,5.9,22.1,17.5,2.4,"11,620"
14,Cypher,competitive,lotus,Gold 2,21.9,15.3,29.2,2.9,"9,735"
15,Breach,competitive,lotus,Gold 2,17.7,21.1,7.3,2.4,"12,815"
16,Harbor,competitive,lotus,Gold 2,5.9,16.5,17.2,2.9,"4,675"
17,Omen,competitive,lotus,Gold 2,9.1,33.2,6.6,1.8,"19,266"
18,Neon,competitive,lotus,Gold 2,15.4,19,5.4,2.3,"6,366"
19,Yoru,competitive,lotus,Gold 2,14.5,22.2,12.6,3.1,"4,771"
20,KAY/O,competitive,lotus,Gold 2,13.4,23.9,7.6,2.4,"9,794"
1,Killjoy,competitive,icebox,Gold 2,12.5,8,21.8,2.7,"15,159"
2,Viper,competitive,icebox,Gold 2,10.2,18.1,11.2,2,"26,409"
3,Phoenix,competitive,icebox,Gold 2,12.2,8.2,3.7,3.7,"7,589"
4,Reyna,competitive,icebox,Gold 2,14.5,5.3,13.7,1.8,"35,122"
5,Sage,competitive,icebox,Gold 2,11.2,9.4,11,1.9,"33,935"
6,Jett,competitive,icebox,Gold 2,12.6,20.4,10,2.5,"29,731"
7,Sova,competitive,icebox,Gold 2,12.2,26.2,8.4,2,"22,024"
8,Raze,competitive,icebox,Gold 2,17,16.3,11,2.5,"18,746"
9,Brimstone,competitive,icebox,Gold 2,6.9,34.1,7.8,2.4,"7,548"
10,Chamber,competitive,icebox,Gold 2,4.1,11,13.5,2.3,"8,980"
11,Fade,competitive,icebox,Gold 2,5.3,22.8,15.6,2.4,"9,113"
12,Astra,competitive,icebox,Gold 2,3.7,24.9,6.1,2.2,"1,590"
13,Skye,competitive,icebox,Gold 2,8.2,21,3.8,3,"7,057"
14,Harbor,competitive,icebox,Gold 2,5.8,16.8,15.1,2.8,"1,782"
15,Omen,competitive,icebox,Gold 2,7,30.2,10.6,1.9,"14,188"
16,Breach,competitive,icebox,Gold 2,14.4,17.5,7,2.2,"3,570"
17,Neon,competitive,icebox,Gold 2,13,19.2,5.4,2.3,"5,164"
18,Cypher,competitive,icebox,Gold 2,20.4,15.5,27.4,2.7,"4,726"
19,KAY/O,competitive,icebox,Gold 2,11.7,24,7.5,2.3,"10,636"
20,Yoru,competitive,icebox,Gold 2,12.6,23.1,11.8,3,"4,167"
1,Brimstone,competitive,all,Gold 2,7.5,36.4,8.5,2.5,"100,970"
2,Phoenix,competitive,all,Gold 2,15.2,9.2,4.3,3.8,"70,329"
3,Sage,competitive,all,Gold 2,12,9.4,11.6,1.9,"197,532"
4,Reyna,competitive,all,Gold 2,14.4,5.4,15.4,1.8,"238,966"
5,Killjoy,competitive,all,Gold 2,13.3,8.1,23,2.8,"121,229"
6,Raze,competitive,all,Gold 2,15.7,16.7,12,2.5,"132,993"
7,Viper,competitive,all,Gold 2,10.1,17.5,11.7,1.9,"78,615"
8,Jett,competitive,all,Gold 2,8.6,20.6,11.7,2.5,"182,969"
9,Astra,competitive,all,Gold 2,3.4,28.9,6.8,2.1,"33,128"
10,Fade,competitive,all,Gold 2,5.9,23.1,17.5,2.4,"83,566"
11,Sova,competitive,all,Gold 2,12.5,25.4,7.9,2,"89,214"
12,Skye,competitive,all,Gold 2,9.1,25,3.8,3.1,"66,624"
13,Cypher,competitive,all,Gold 2,22.7,15.3,28.2,2.8,"69,774"
14,Breach,competitive,all,Gold 2,17,20.1,7.7,2.3,"61,652"
15,Omen,competitive,all,Gold 2,8.5,34.2,7.7,1.9,"127,277"
16,Chamber,competitive,all,Gold 2,4.2,9.5,13.8,2.3,"58,136"
17,Neon,competitive,all,Gold 2,14.7,19,6.2,2.3,"40,345"
18,Yoru,competitive,all,Gold 2,14.4,22.9,12.3,3.1,"28,631"
19,Harbor,competitive,all,Gold 2,6.1,16.7,16.1,2.8,"16,662"
20,KAY/O,competitive,all,Gold 2,13.3,23.9,7.8,2.3,"67,399"
1,Brimstone,competitive,split,Gold 2,7.7,36.5,8.5,2.4,"13,963"
2,Sage,competitive,split,Gold 2,13.6,9.8,13.1,1.9,"34,496"
3,Breach,competitive,split,Gold 2,16.7,20,7.7,2.3,"7,682"
4,Raze,competitive,split,Gold 2,16.4,17.1,12.5,2.6,"26,160"
5,Skye,competitive,split,Gold 2,10.3,27.1,3.9,3,"11,449"
6,Reyna,competitive,split,Gold 2,14.4,5.5,16,1.8,"32,707"
7,Jett,competitive,split,Gold 2,7.1,20.9,12.1,2.5,"23,215"
8,Phoenix,competitive,split,Gold 2,15.9,9.2,4.4,3.8,"9,135"
9,Killjoy,competitive,split,Gold 2,13.4,8.3,23.3,2.7,"17,268"
10,Fade,competitive,split,Gold 2,6,23.4,18,2.4,"10,392"
11,Omen,competitive,split,Gold 2,8.9,35.7,7.8,2,"22,432"
12,Cypher,competitive,split,Gold 2,24.1,15.3,26.8,2.8,"13,360"
13,Viper,competitive,split,Gold 2,10.7,17.2,12.1,1.8,"8,167"
14,Astra,competitive,split,Gold 2,3.3,29.7,6.8,2,"5,700"
15,Sova,competitive,split,Gold 2,12.4,24.9,7.6,1.9,"8,276"
16,Chamber,competitive,split,Gold 2,4.2,9.1,13.4,2.3,"6,319"
17,Neon,competitive,split,Gold 2,14.4,19.1,6.1,2.2,"4,299"
18,Yoru,competitive,split,Gold 2,15,23.4,12.6,3.1,"3,691"
19,KAY/O,competitive,split,Gold 2,13.6,24,8,2.3,"9,307"
20,Harbor,competitive,split,Gold 2,6.1,17,16.1,2.7,"1,654"
1,Brimstone,competitive,ascent,Gold 2,7.7,36.3,8.3,2.4,"16,503"
2,Phoenix,competitive,ascent,Gold 2,16.2,9.8,4.1,3.9,"10,608"
3,Sova,competitive,ascent,Gold 2,13.7,26.2,8.5,2,"20,099"
4,Reyna,competitive,ascent,Gold 2,14.2,5.3,15.8,1.7,"33,714"
5,Cypher,competitive,ascent,Gold 2,23.2,15.6,27,2.7,"8,406"
6,Raze,competitive,ascent,Gold 2,15.8,17.2,12,2.5,"18,184"
7,Jett,competitive,ascent,Gold 2,8.8,20.5,12.2,2.6,"28,559"
8,Sage,competitive,ascent,Gold 2,11.8,9.6,10.8,1.9,"24,554"
9,Fade,competitive,ascent,Gold 2,6.2,24,16.8,2.3,"10,268"
10,Killjoy,competitive,ascent,Gold 2,13.2,8.2,24.4,2.8,"26,503"
11,Chamber,competitive,ascent,Gold 2,4.3,9.4,13,2.3,"6,537"
12,Omen,competitive,ascent,Gold 2,8.7,36.6,7.1,2,"22,826"
13,Astra,competitive,ascent,Gold 2,3.2,30,6.9,2,"5,127"
14,Skye,competitive,ascent,Gold 2,8.9,24.4,3.9,3,"7,699"
15,Yoru,competitive,ascent,Gold 2,14.4,22.8,12.1,3,"3,339"
16,Breach,competitive,ascent,Gold 2,16.9,18.9,8,2.2,"4,736"
17,Viper,competitive,ascent,Gold 2,10.7,16.5,11.7,1.7,"5,176"
18,Neon,competitive,ascent,Gold 2,13.9,18.9,5.9,2.2,"4,183"
19,KAY/O,competitive,ascent,Gold 2,14.5,24.4,8.2,2.3,"10,157"
20,Harbor,competitive,ascent,Gold 2,5.5,16,15.5,2.6,"1,405"
1,Brimstone,competitive,fracture,Gold 3,7.7,38.2,8.9,2.6,"21,026"
2,Killjoy,competitive,fracture,Gold 3,13,8,23.3,3.1,"15,772"
3,Astra,competitive,fracture,Gold 3,3.2,29,6.3,2.1,"2,968"
4,Reyna,competitive,fracture,Gold 3,14.6,5.5,15.6,1.9,"30,439"
5,Viper,competitive,fracture,Gold 3,10.5,16.9,11.8,1.9,"10,408"
6,Skye,competitive,fracture,Gold 3,8.7,25.2,3.5,3.3,"7,594"
7,Phoenix,competitive,fracture,Gold 3,14.9,9.2,5,4.1,"7,880"
8,Raze,competitive,fracture,Gold 3,15.4,16.7,12.1,2.7,"17,209"
9,Jett,competitive,fracture,Gold 3,7,21.3,12.3,2.6,"23,364"
10,Breach,competitive,fracture,Gold 3,17.5,21.2,8.1,2.5,"19,296"
11,Sage,competitive,fracture,Gold 3,11.9,9.2,11.7,1.9,"20,914"
12,Neon,competitive,fracture,Gold 3,16.3,19,7.2,2.4,"8,204"
13,Fade,competitive,fracture,Gold 3,5.9,22.5,17.7,2.5,"10,370"
14,Cypher,competitive,fracture,Gold 3,23.3,15.3,29,2.8,"10,027"
