index,Rank,Name,Age,Country/Territory,Category,Designation
505,88,Tory Burch,The art history grad worked with designers Ralph Lauren and Vera Wang before opening a boutique in New York City's Nolita neighborhood in 2004.,,,
506,88,Tory Burch,"In March 2019, Bank of America committed $100 million to her decade-old charitable foundation that has been helping women entrepreneurs since 2014.",,,
507,89,Raja Easa Al Gurg,Raja Easa Al Gurg is managing director and vice chairperson of one of the biggest conglomerates in the Middle East.,,,
508,89,Raja Easa Al Gurg,The Easa Saleh Al Gurg Group consists of 27 companies ranging from retail to construction to a metal foundry.,,,
509,89,Raja Easa Al Gurg,Al Gurg is also president of the Dubai Business Women Council and works to improve female entrepreneurship in the United Arab Emirates.,,,
510,89,Raja Easa Al Gurg,"She also serves as board member at Dubai Chamber of Commerce and Industry, Dubai Women's Association and HSBC Middle East.",,,
511,89,Raja Easa Al Gurg,She is the first ever Emirati woman appointed to the board of HSBC Bank Middle East Limited (HBME).,,,
512,90,Lee Boo-jin,"Lee Boo-jin is the president and chief executive of Hotel Shilla, one of Seoul's top lodging and conference centers.",,,
513,90,Lee Boo-jin,Hotel Shilla­ is also the country's biggest duty-free operator after Lotte.,,,
514,90,Lee Boo-jin,"Lee Boo-jin has also served as an advisor for the trading department of Samsung C&T, her family's de-facto holding company.",,,
515,90,Lee Boo-jin,"Daughter of ailing Samsung Group patriarch Lee Kun-hee, she is projected to split her father's empire with her brother Jay Y. and sister Seo-hyun.",,,
516,90,Lee Boo-jin,"With her brother embroiled in a bribery scandal, there has been speculation about Boo-jin as a possible successor to the family empire.",,,
517,91,Dominique Senequier,"Senequier joined AXA group in 1996 when she founded AXA Private Equity, which became Ardian in 2013.",,,
518,91,Dominique Senequier,"Ardian has $100 billion in assets under management from clients including governments, pension funds and high-net-worth investors.",,,
519,91,Dominique Senequier,"Senequier was one of just seven women admitted to France's Ecole Polytechnique in 1972, the first year women were allowed to enroll.",,,
520,91,Dominique Senequier,"In 2011, she acquired a $1.7 billion portfolio from Citigroup, which includes 207 limited partnership interests in private equity buyout funds.",,,
521,91,Dominique Senequier,AXA called it one of the largest secondary private equity transactions ever made.,,,
522,92,Reese Witherspoon,"Frustrated with the roles she was getting, Reese Witherspoon started a production company, Pacific Standard, in 2012.",,,
523,92,Reese Witherspoon,"Through Pacific Standard, the Legally Blonde actress had a hand in hits including 'Gone Girl' and 'Wild.'",,,
524,92,Reese Witherspoon,"In 2016, she partnered with Otter Media, a division of AT&T's WarnerMedia, to launch Hello Sunshine, which focuses on female-driven stories.",,,
525,92,Reese Witherspoon,"It now operates a book club, audio programming with Audible, two podcasts, a video-on-demand channel with DirecTV and is collaborating with Apple.",,,
526,92,Reese Witherspoon,Laurene Powell Jobs invested in Hello Sunshine in February.,,,
527,93,Anne Wojcicki,"Anne Wojcicki is the cofounder and CEO of 23andMe, a pioneering direct-to-consumer DNA testing firm based in Mountain View, California.",,,
528,93,Anne Wojcicki,"A former Wall Street analyst, Wojcicki teamed up with cofounders Linda Avey and Paul Cusenza to start DNA testing company 23andMe in 2006.",,,
529,93,Anne Wojcicki,"23andMe got a $300 million investment from GSK, formerly GlaxoSmithKline, in July 2018; they are partnering on drug development.",,,
530,93,Anne Wojcicki,"23andMe is the only direct-to-consumer genetics testing company cleared by the FDA for health tests, including ones for Alzheimer's and Parkinson's.",,,
531,93,Anne Wojcicki,"23andMe is also doing its own drug discovery and boasts a $2.5 billion valuation, with backers like Google (cofounded by her ex-husband Sergey Brin).",,,
532,94,Mellody Hobson,"Hobson is the co-CEO and president of Ariel Investments, a Chicago-based firm with $12 billion in assets.",,,
533,94,Mellody Hobson,"She also sits on the boards of Starbucks and JPMorgan Chase, and was chairman of Dreamworks' board until its sale to Comcast.",,,
534,94,Mellody Hobson,"She's a longtime advocate for financial literacy, calling it the key to generations of success.",,,
535,94,Mellody Hobson,"In October 2020, Hobson donated money to establish a new residential college at Princeton University, her alma mater.",,,
536,94,Mellody Hobson,"Formerly named for president Woodrow Wilson, the college house will be the first at Princeton to be named for a Black woman.",,,
537,95,Kirsten Green,"In the middle of the pandemic, in July 2020, Forerunner, led by Green, raised a $500 million fund, total assets under management to $1.2 billion.",,,
538,95,Kirsten Green,"Green has led ""first investments"" in six companies currently valued over $1 billion, including the largest challenger bank, Chime.",,,
539,95,Kirsten Green,"Through her firm, she has also invested in cosmetics company Glossier, luggage purveyor Away, and wholesale marketplace Faire.",,,
540,95,Kirsten Green,"She's a founding member of All Raise, the group of women venture capitalists working to change their industry from within.",,,
541,96,Sahle-Work Zewde,"In October 2018, Sahle-Work Zewde became Ethiopia's first woman president and the only serving female head of state in Africa.",,,
542,96,Sahle-Work Zewde,"A seasoned diplomat and veteran of the United Nations, Zewde was appointed with a unanimous vote by parliament.",,,
543,96,Sahle-Work Zewde,"In her first address to parliament, Zewde promised to be a voice for women and stressed the importance of unity.",,,
544,96,Sahle-Work Zewde,The appointment joins a series of unprecedented shifts as part of Prime Minister Abiy Ahmed's reforms focused on easing government control.,,,
545,96,Sahle-Work Zewde,"Traditionally a ceremonial role, Zewde's appointment is a tremendously symbolic move for the conservative country, opening the door for gender parity.",,,
546,97,Aileen Lee,"Lee is the founder of Cowboy Ventures, a venture firm that has invested in startups like Bloom Energy, Dollar Shave Club and Rent the Runway.",,,
547,97,Aileen Lee,"A thirteen-year veteran of storied firm Kleiner Perkins Caufield & Byers, Lee left in 2012 to found her own firm, Cowboy Ventures.",,,
548,97,Aileen Lee,Cowboy Ventures is one of the first VC firms to be launched by a woman. Lee has been vocal about the state of diversity in Silicon Valley.,,,
549,97,Aileen Lee,"The firm announced in 2018 it has raised Cowboy Ventures III, a $95 million fund dedicated to backing seed-stage technology startups.",,,
550,97,Aileen Lee,"Lee is a founding member of All Raise, which runs Female Founder Office Hours, a one-on-one mentorship series for female entrepreneurs and investors.",,,
551,98,Renuka Jagtiani,"Jagtiani is the chairwoman and CEO of Landmark Group, a multinational consumer conglomerate based in Dubai and founded by her husband Micky Jagtiani.",,,
552,98,Renuka Jagtiani,"For more than 20 years, she has led the company's corporate strategy and expansion into new markets.",,,
553,98,Renuka Jagtiani,"As head of the company, Jigtiani oversees more than 50,000 employees.",,,
554,99,Rania Nashar,"Nashar is the first female CEO of Saudi commercial bank, Samba Financial Group.",,,
555,99,Rania Nashar,She becomes CEO at a time when Saudi Arabia is beginning to implement reforms that will promote gender equality as part of their Vision 2030.,,,
556,99,Rania Nashar,Samba Financial Group is Saudi Arabia's third-largest bank by assets.,,,
557,99,Rania Nashar,Nashar previously served as a board member for Samba's global markets subsidiary and has over 20 years of experience in the commercial banking sector.,,,
558,100,Stacey Abrams,"Abrams is the founder of Fair Fight, a voting rights organization based in Georgia.",,,
559,100,Stacey Abrams,"She is credited with organizing a grassroots movement that helped register more than 800,000 Georgian residents to vote in 2020.",,,
560,100,Stacey Abrams,"Abrams founded Fair Fight after losing the 2018 gubernatorial race by fewer than 55,000 votes, which observers attributed to voter suppression.",,,
561,100,Stacey Abrams,"Fair Fight seeks to protect the right to vote in all states, not just Georgia. ""We changed the trajectory of the nation,"" Abrams said in November.",,,
562,100,Stacey Abrams,"Through Fair Fight, Abrams has big fundraising power. The organization raised $34 million in the last month of the 2020 general election alone.",,,
